name,salary,season,team,shoots,height_cm,weight_kg
Anderson Varejao,1551659,2017,Golden State Warriors,Right,208.28,104.42
Anderson Varejao,1913345,2018,Portland Trail Blazers,Right,208.28,104.42
Andrae Patterson,385000,2000,Minnesota Timberwolves,Right,205.74,108.052
Andrae Patterson,498500,2001,Minnesota Timberwolves,Right,205.74,108.052
Andray Blatche,398762,2006,Washington Wizards,Right,210.82,106.69
Andray Blatche,664209,2007,Washington Wizards,Right,210.82,106.69
Andray Blatche,2470000,2008,Washington Wizards,Right,210.82,106.69
Andray Blatche,2739669,2009,Washington Wizards,Right,210.82,106.69
Andray Blatche,3000000,2010,Washington Wizards,Right,210.82,106.69
Andray Blatche,5900000,2011,Washington Wizards,Right,210.82,106.69
Andray Blatche,6442083,2012,Washington Wizards,Right,210.82,106.69
Andray Blatche,7118502,2013,Washington Wizards,Right,210.82,106.69
Andray Blatche,1146337,2013,Brooklyn Nets,Right,210.82,106.69
Andray Blatche,1375604,2014,Brooklyn Nets,Right,210.82,106.69
Andray Blatche,8471339,2015,Washington Wizards,Right,210.82,106.69
Andre Barrett,385277,2005,Houston Rockets,Right,177.8,78.088
Andre Barrett,744551,2007,Chicago Bulls,Right,177.8,78.088
Andre Brown,241591,2007,Seattle SuperSonics,Right,205.74,111.23
Andre Brown,711517,2008,Memphis Grizzlies,Right,205.74,111.23
Andre Brown,107908,2009,Charlotte Bobcats,Right,205.74,111.23
Andre Dawkins,59686,2015,Boston Celtics,Right,195.58,97.61
Andre Drummond,2356320,2013,Detroit Pistons,Right,208.28,122.58
Andre Drummond,2462400,2014,Detroit Pistons,Right,208.28,122.58
Andre Drummond,2568360,2015,Detroit Pistons,Right,208.28,122.58
Andre Drummond,3272091,2016,Detroit Pistons,Right,208.28,122.58
Andre Drummond,22116750,2017,Detroit Pistons,Right,208.28,122.58
Andre Drummond,23775506,2018,Detroit Pistons,Right,208.28,122.58
Andre Emmett,385277,2005,Memphis Grizzlies,Right,195.58,104.42
Andre Emmett,641748,2006,Miami Heat,Right,195.58,104.42
Andre Emmett,61433,2012,New Jersey Nets,Right,195.58,104.42
Andre Iguodala,1914480,2005,Philadelphia 76ers,Right,198.12,93.978
Andre Iguodala,2058000,2006,Philadelphia 76ers,Right,198.12,93.978
Andre Iguodala,2201640,2007,Philadelphia 76ers,Right,198.12,93.978
Andre Iguodala,2804889,2008,Philadelphia 76ers,Right,198.12,93.978
Andre Iguodala,11300000,2009,Philadelphia 76ers,Right,198.12,93.978
Andre Iguodala,12200000,2010,Philadelphia 76ers,Right,198.12,93.978
Andre Iguodala,12345250,2011,Philadelphia 76ers,Right,198.12,93.978
Andre Iguodala,13531750,2012,Philadelphia 76ers,Right,198.12,93.978
Andre Iguodala,14968250,2013,Denver Nuggets,Right,198.12,93.978
