name,shoots,height_cm,weight_kg
Doug West,Right,198.12,90.8
Dragan Tarlac,Right,208.28,118.04
Draymond Green,Right,200.66,104.42
Drew Barry,Right,195.58,86.714
Drew Gooden,Right,208.28,104.42
Drew Gordon,Right,205.74,111.23
Duane Causwell,Right,213.36,108.96
Dwayne Jones,Right,210.82,113.5
Dwight Buycks,Right,190.5,86.26
Dwight Howard,Right,210.82,108.96
Dwight Powell,Right,210.82,108.96
Dwyane Wade,Right,193.04,96.248
E'Twaun Moore,Right,193.04,86.714
Earl Barron,Right,213.36,111.23
Earl Boykins,Right,165.1,61.29
Earl Clark,Right,208.28,102.15
Earl Watson,Right,185.42,88.53
Ed Davis,Left,208.28,102.15
Eddie Basden,Right,195.58,97.61
Eddie Gill,Right,182.88,86.26
Eddie Griffin,Right,208.28,99.88
Eddie House,Right,185.42,81.72
Eddie Jones,Right,198.12,86.26
Eddie Robinson,Right,203.2,95.34
Eddy Curry,Right,213.36,133.93
Eduardo Najera,Right,203.2,108.96
Edwin Ubiles,Right,198.12,92.616
Efthimi Rentzias,Right,210.82,113.5
Ekpe Udoh,Right,208.28,108.96
Elden Campbell,Right,210.82,97.61
Eldridge Recasner,Right,190.5,86.26
Elfrid Payton,Right,193.04,83.99
Elias Harris,Right,203.2,108.506
Elijah Millsap,Right,198.12,102.15
Elliot Perry,Left,182.88,68.1
Elliot Williams,Left,195.58,81.72
Elton Brand,Right,203.2,124.85
Emanual Davis,Right,193.04,88.53
Emeka Okafor,Right,208.28,114.408
Emmanuel Mudiay,Right,195.58,90.8
Enes Kanter,Right,210.82,118.948
Eric Bledsoe,Right,185.42,86.26
Eric Dawson,Right,205.74,113.5
Eric Gordon,Right,193.04,97.61
Eric Maynor,Right,190.5,79.45
Eric Montross,Right,213.36,122.58
Eric Moreland,Right,208.28,108.052
Eric Murdock,Right,185.42,86.26
Eric Piatkowski,Right,200.66,97.61
Eric Snow,Right,190.5,86.26
Eric Williams,Right,203.2,99.88
Erick Barkley,Right,185.42,80.358
Erick Dampier,Right,210.82,120.31
Erick Green,Right,193.04,83.99
Erick Strickland,Left,190.5,95.34
Erik Daniels,Left,203.2,97.156
Erik Murphy,Right,208.28,104.42
Ernest Brown,Right,213.36,110.776
Ersan Ilyasova,Right,205.74,106.69
Ervin Johnson,Right,210.82,111.23
Esteban Batista,Left,208.28,122.58
Etan Thomas,Right,205.74,116.224
Etdrick Bohannon,Right,205.74,99.88
Eugene Jeter,Right,180.34,79.45
Evan Eschmeyer,Right,210.82,115.77
Evan Fournier,Right,200.66,93.07
Evan Turner,Right,200.66,93.07
Fab Melo,Right,213.36,115.77
Fabricio Oberto,Right,208.28,111.23
Felipe Lopez,Right,195.58,90.346
Felton Spencer,Right,213.36,120.31
Festus Ezeli,Right,210.82,115.77
Francisco Elson,Right,213.36,106.69
Francisco Garcia,Right,200.66,88.53
Frank Kaminsky,Right,213.36,109.868
Frank Williams,Right,190.5,96.248
Fred Hoiberg,Right,193.04,92.162
Fred Jones,Right,193.04,95.34
Fred Vinson,Right,193.04,86.26
Furkan Aldemir,Right,208.28,108.96
Gabe Pruitt,Right,193.04,77.18
Gal Mekel,Right,190.5,86.714
Gani Lawal,Right,205.74,106.236
Garret Siler,Right,210.82,138.47
Garrett Temple,Right,198.12,86.26
Garth Joseph,Right,218.44,143.01
Gary Forbes,Right,200.66,99.88
