state,team,draft_year
University of Virginia,Cleveland Cavaliers,2014
Creighton University,Denver Nuggets,2014
University of Iowa,Denver Nuggets,2014
Colorado,Detroit Pistons,2014
Arizona,Houston Rockets,2014
Washington,Los Angeles Clippers,2014
Kentucky,Los Angeles Lakers,2014
"California, Los Angeles",Memphis Grizzlies,2014
North Carolina,Miami Heat,2014
Ohio,Miami Heat,2014
North Carolina,Milwaukee Bucks,2014
Louisiana,Milwaukee Bucks,2014
Pennsylvania,Milwaukee Bucks,2014
Oklahoma,Minnesota Timberwolves,2014
"California, Los Angeles",Minnesota Timberwolves,2014
Michigan,Minnesota Timberwolves,2014
Wichita State University,New York Knicks,2014
California,Oklahoma City Thunder,2014
Michigan,Oklahoma City Thunder,2014
Arizona,Orlando Magic,2014
Clemson University,Philadelphia 76ers,2014
New York,Philadelphia 76ers,2014
Kansas,Philadelphia 76ers,2014
University of Louisiana at Lafayette,Philadelphia 76ers,2014
Kentucky,Philadelphia 76ers,2014
North Carolina,Phoenix Suns,2014
New York,Phoenix Suns,2014
Michigan,Sacramento Kings,2014
Baylor University,San Antonio Spurs,2014
"California, Los Angeles",San Antonio Spurs,2014
Tennessee,San Antonio Spurs,2014
"Mississippi, North Carolina",Utah Jazz,2014
Tennessee,Utah Jazz,2014
"University of Tulsa, University of Missouri",Washington Wizards,2014
Kansas,Atlanta Hawks,2015
Georgia State University,Boston Celtics,2015
Louisiana,Boston Celtics,2015
Kentucky,Boston Celtics,2015
New York,Brooklyn Nets,2015
University of Notre Dame,Brooklyn Nets,2015
Wisconsin,Charlotte Hornets,2015
Arkansas,Chicago Bulls,2015
North Carolina,Cleveland Cavaliers,2015
University of Virginia,Dallas Mavericks,2015
Arizona,Detroit Pistons,2015
Villanova University,Detroit Pistons,2015
"California, Los Angeles",Golden State Warriors,2015
Kentucky,Houston Rockets,2015
Wisconsin,Houston Rockets,2015
"Texas, Oregon",Indiana Pacers,2015
Texas,Indiana Pacers,2015
Ohio,Los Angeles Lakers,2015
California,Los Angeles Lakers,2015
University of Wyoming,Los Angeles Lakers,2015
Louisiana,Memphis Grizzlies,2015
North Carolina,Miami Heat,2015
Tennessee,Miami Heat,2015
"California, Los Angeles",Milwaukee Bucks,2015
"Nevada, Las Vegas",Milwaukee Bucks,2015
New York,Minnesota Timberwolves,2015
Kentucky,Minnesota Timberwolves,2015
Michigan,New Orleans Pelicans,2015
Murray State University,Oklahoma City Thunder,2015
Kentucky,Oklahoma City Thunder,2015
Bowling Green State University,Philadelphia 76ers,2015
North Carolina,Philadelphia 76ers,2015
Kentucky,Phoenix Suns,2015
Kentucky,Phoenix Suns,2015
Arizona,Portland Trail Blazers,2015
Kentucky,Sacramento Kings,2015
Utah,Toronto Raptors,2015
Kentucky,Utah Jazz,2015
University of Notre Dame,Washington Wizards,2015
Oakland University,Atlanta Hawks,2016
Saint Joseph's University,Atlanta Hawks,2016
Michigan,Boston Celtics,2016
"Northern Illinois University, Iowa",Boston Celtics,2016
Providence College,Boston Celtics,2016
California,Boston Celtics,2016
University of Notre Dame,Boston Celtics,2016
North Carolina,Brooklyn Nets,2016
New York,Charlotte Hornets,2016
Michigan,Chicago Bulls,2016
Indiana,Dallas Mavericks,2016
Florida,Denver Nuggets,2016
Connecticut,Denver Nuggets,2016
Kentucky,Denver Nuggets,2016
"North Carolina, New York",Detroit Pistons,2016
Marquette University,Detroit Pistons,2016
Tennessee,Golden State Warriors,2016
Kentucky,Houston Rockets,2016
Iowa,Indiana Pacers,2016
Michigan,Indiana Pacers,2016
Kansas,Los Angeles Clippers,2016
North Carolina,Los Angeles Clippers,2016
North Carolina,Los Angeles Lakers,2016
Tennessee,Memphis Grizzlies,2016
"Nevada, Las Vegas",Milwaukee Bucks,2016
University of Virginia,Milwaukee Bucks,2016
Providence College,Minnesota Timberwolves,2016
Maryland,New Orleans Pelicans,2016
Oklahoma,New Orleans Pelicans,2016
Washington,Orlando Magic,2016
Maryland,Orlando Magic,2016
"Nevada, Las Vegas",Orlando Magic,2016
Louisiana,Philadelphia 76ers,2016
Kentucky,Phoenix Suns,2016
Kentucky,Phoenix Suns,2016
Washington,Sacramento Kings,2016
Washington,San Antonio Spurs,2016
New Mexico State University,Toronto Raptors,2016
Utah,Toronto Raptors,2016
Baylor University,Utah Jazz,2016
Seton Hall University,Utah Jazz,2016
California,Utah Jazz,2016
Utah,Utah Jazz,2016
