Player,Season,Team,Salary,PPG,Height,Weight,PPM
Theo Ratliff,2002,Atlanta Hawks,9667969,8.66667,208,102,0.31707
Theo Ratliff,2003,Atlanta Hawks,9375000,8.71605,208,102,0.28038
Theo Ratliff,2004,TOT,10156250,7.90588,208,102,0.25225
Theo Ratliff,2004,Atlanta Hawks,10156250,8.26415,208,102,0.26578
Theo Ratliff,2004,Portland Trail Blazers,10156250,7.3125,208,102,0.23031
Theo Ratliff,2005,Portland Trail Blazers,10937500,4.8254,208,102,0.17562
Theo Ratliff,2006,Portland Trail Blazers,11666666,4.90909,208,102,0.20753
Theo Ratliff,2007,Boston Celtics,11666666,2.5,208,102,0.11364
Theo Ratliff,2008,TOT,11666666,4.26923,208,102,0.254
Theo Ratliff,2008,Minnesota Timberwolves,11666666,6.3,208,102,0.29439
Theo Ratliff,2008,Detroit Pistons,11666666,3,208,102,0.21525
Theo Ratliff,2009,Philadelphia 76ers,1262275,1.93478,208,102,0.15371
Theo Ratliff,2010,TOT,1306455,3.63265,208,102,0.22057
Theo Ratliff,2010,San Antonio Spurs,1306455,1.61905,208,102,0.18579
Theo Ratliff,2010,Charlotte Hornets,1306455,5.14286,208,102,0.23077
Theo Ratliff,2011,Los Angeles Lakers,1352181,0.2,208,102,0.02817
Theron Smith,2004,Memphis Grizzlies,366931,2.2,203,102,0.24719
Theron Smith,2005,Charlotte Hornets,620046,3.18182,203,102,0.20588
Thomas Gardner,2008,Chicago Bulls,101451,5.25,196,102,0.46667
Thomas Gardner,2009,Atlanta Hawks,711517,1.5,196,102,0.2449
Thomas Hamilton,2000,Houston Rockets,510000,3.72727,218,150,0.30037
Thomas Robinson,2013,TOT,3374640,4.75714,206,109,0.31534
Thomas Robinson,2013,Sacramento Kings,3374640,4.84314,206,109,0.30532
Thomas Robinson,2013,Houston Rockets,3374640,4.52632,206,109,0.34818
Thomas Robinson,2014,Portland Trail Blazers,3526440,4.84286,206,109,0.38832
Thomas Robinson,2015,TOT,3678360,5.7037,206,109,0.38596
Thomas Robinson,2015,Portland Trail Blazers,3678360,3.59375,206,109,0.29412
Thomas Robinson,2015,Philadelphia 76ers,3678360,8.77273,206,109,0.4742
Thomas Robinson,2016,BRK,981300,4.32394,206,109,0.33479
Tiago Splitter,2011,San Antonio Spurs,3400000,4.63333,211,105,0.37669
Tiago Splitter,2012,San Antonio Spurs,3672000,9.30508,211,105,0.48974
Tiago Splitter,2013,San Antonio Spurs,3944000,10.34568,211,105,0.41963
Tiago Splitter,2014,San Antonio Spurs,10000000,8.18644,211,105,0.38002
Tiago Splitter,2015,San Antonio Spurs,9250000,8.23077,211,105,0.41553
Tiago Splitter,2016,Atlanta Hawks,8500000,5.58333,211,105,0.34715
Tierre Brown,2002,Houston Rockets,332817,3.075,188,86,0.30521
Tierre Brown,2005,Los Angeles Lakers,720046,4.38158,188,86,0.31238
Tim Duncan,2000,San Antonio Spurs,3858240,23.18919,211,113,0.59687
Tim Duncan,2001,San Antonio Spurs,9660000,22.19512,211,113,0.57341
Tim Duncan,2002,San Antonio Spurs,10865250,25.47561,211,113,0.62752
Tim Duncan,2003,San Antonio Spurs,12072500,23.25926,211,113,0.59227
Tim Duncan,2004,San Antonio Spurs,12676125,22.28986,211,113,0.60863
Tim Duncan,2005,San Antonio Spurs,14260641,20.33333,211,113,0.60917
Tim Duncan,2006,San Antonio Spurs,15845156,18.5625,211,113,0.53341
Tim Duncan,2007,San Antonio Spurs,17429672,19.9875,211,113,0.58657
Tim Duncan,2008,San Antonio Spurs,19014188,19.33333,211,113,0.56884
Tim Duncan,2009,San Antonio Spurs,20598704,19.33333,211,113,0.57448
Tim Duncan,2010,San Antonio Spurs,22183220,17.88462,211,113,0.57219
Tim Duncan,2011,San Antonio Spurs,18700000,13.44737,211,113,0.47403
